name,latitude,longitude,description,city,country,address
Alter Friedhof Langerfeld,51.2745,7.24536,Wikidata: Q438238,Wuppertal,Germany,
Alter Friedhof Oberursel,50.196,8.59169,Wikidata: Q437916,Oberursel (Taunus),Germany,
Alter Friedhof Rüggeberg,51.2665,7.38493,Wikidata: Q437918,Ennepetal,Germany,
Alter Friedhof Segeroth,51.4669,6.99806,Wikidata: Q437922,Essen,Germany,
Alter Garnisonfriedhof Berlin,52.528333333,13.404166666,Wikidata: Q437929,Bezirk Mitte,Germany,
Alter Hammer Friedhof,53.55591667,10.05713889,Wikidata: Q437953,Hamburg-Mitte,Germany,
Alter Jüdischer Friedhof Eisenstadt,47.8471,16.5145,Wikidata: Q437987,Eisenstadt,Austria,
Alter Katholischer Friedhof,51.0603,13.7193,Wikidata: Q317663,Dresden,Germany,
Alter Nordfriedhof,48.1537,11.5702,Wikidata: Q438119,Munich,Germany,
Alter St.-Matthäus-Kirchhof Berlin,52.490277777,13.366944444,Wikidata: Q438183,Tempelhof-Schöneberg,Germany,
Alter St.-Nikolai-Friedhof,52.3786,9.73222,Wikidata: Q438184,Mitte,Germany,
Altmannsdorfer Friedhof,48.165277777,16.327222222,Wikidata: Q442555,Meidling,Austria,
Alto de São João Cemetery,38.730236,-9.12178,Wikidata: Q1053349,Penha de França,Portugal,
Altria Theater,37.5462,-77.4522,Wikidata: Q6484803,Richmond,United States,
Altstadt,47.2711,11.39535,Wikidata: Q28714993,Innsbruck,Austria,
Amalfi Cathedral,40.63444444,14.60305556,Wikidata: Q686306,Amalfi,Italy,
Amalienborg,55.684027777,12.593333333,Wikidata: Q211053,Copenhagen Municipality,Denmark,
Ambleteuse Communal Cemetery,50.8087,1.6085,Wikidata: Q2190300,Ambleteuse,France,
Amdavad ni Gufa,23.03611111,72.54944444,Wikidata: Q1744232,Ahmedabad,India,
Amherst West Cemetery,42.379167,-72.518611,Wikidata: Q4746056,Amherst,United States,
Amisos Hill,41.31888889,36.32305556,Wikidata: Q19610508,Atakum district,Turkey,
Amory House,42.8939,-72.1,Wikidata: Q15991670,Dublin,United States,
Amos G. Winter House,44.95916667,-70.16027778,Wikidata: Q25000246,Kingfield,United States,
Amsterdam Central station,52.37895,4.90016,Wikidata: Q50719,Amsterdam,Netherlands,
Anchorage Memorial Park,61.2152,-149.876,Wikidata: Q4752726,Anchorage,United States,
ancien presbytère de Sainte-Monique-des-Saules,46.811837,-71.3213201,Wikidata: Q134500872,Quebec City,Canada,
Ancient Burying Ground,41.654722,-70.343889,Wikidata: Q4752808,Barnstable,United States,
Anderson–Frank House,27.939167,-82.463333,Wikidata: Q4754011,Tampa,United States,
Andersons Bay Cemetery,-45.9044,170.534,Wikidata: Q4754247,Dunedin City,New Zealand,
Andersonville National Historic Site,32.194722222,-84.128888888,Wikidata: Q491712,Andersonville,United States,
Ando Conference Pavilion,47.601093,7.62017,Wikidata: Q54989344,Weil am Rhein,Germany,
Andrew Melville Hall,56.3406,-2.8175,Wikidata: Q4758008,Fife,United Kingdom,
"Andrew Melville Hall, University of St Andrews, North Haugh",56.3405,-2.81741,Wikidata: Q17570697,Fife,United Kingdom,
"Andrieskerk, Amsterdam",52.331861111,4.868111111,Wikidata: Q20982460,Amsterdam,Netherlands,
AnfaPlace Mall,33.598055555,-7.666944444,Wikidata: Q23002011,Casablanca,Morocco,
Anfield,53.430833333,-2.960833333,Wikidata: Q45671,,,
Anfield Cemetery,53.43874,-2.95833,Wikidata: Q4761788,Liverpool,United Kingdom,
Angelus-Rosedale Cemetery,34.042,-118.298,Wikidata: Q4763115,Los Angeles,United States,
Anichkov Palace,59.932777777,30.339722222,Wikidata: Q187333,Tsentralny District,Russia,
Annappes Churchyard,50.627993,3.149816,Wikidata: Q2729226,Annappes,France,
Annezin Communal Cemetery,50.5408,2.6045,Wikidata: Q2685726,Annezin,France,
Annœullin cemetery,50.52455,2.942453,Wikidata: Q2211805,Annœullin,France,
Anoka Post Office,45.197778,-93.386944,Wikidata: Q4769887,Anoka,United States,
Anor Communal Cemetery,49.992886,4.105154,Wikidata: Q1944186,Anor,France,
Anshei Sphard Beth El Emeth Congregation,35.1344,-89.8708,Wikidata: Q4770669,Tennessee,United States,
Antakalnis Cemetery,54.698787,25.320954,Wikidata: Q1457300,Vilnius City Municipality,Lithuania,
Anthony Overton Elementary School,41.80555556,-87.62055556,Wikidata: Q85741984,Chicago,United States,
Antic escorxador municipal,41.3789,2.04094,Wikidata: Q17587035,Sant Feliu de Llobregat,Spain,
Antic Mercat Municipal del Masnou,41.47847,2.31596,Wikidata: Q26235019,El Masnou,Spain,
"Antigua Central Termoeléctrica, Málaga",36.719770525,-4.410602151,Wikidata: Q54820877,Centro (District 1),Spain,
Antiguo Colegio Máximo de la Compañía de Jesús,37.193332437,-3.595950077,Wikidata: Q43117150,Granada,Spain,
Antioch Missionary Baptist Church Cemetery,34.393611,-91.983889,Wikidata: Q4775025,Jefferson County,United States,
"Antonius van Paduakerk (Vianen, North Brabant)",51.718091666,5.857188888,Wikidata: Q131152182,Land van Cuijk,Netherlands,
Antwerp-Central railway station,51.216944444,4.421111111,Wikidata: Q800398,Antwerp,Belgium,
Anundshög,59.63055556,16.64472222,Wikidata: Q612476,Västerås Municipality,Sweden,
Anvin Churchyard,50.445577,2.257745,Wikidata: Q4461430,Anvin,France,
Anzeiger-Hochhaus,52.3769,9.73139,Wikidata: Q614321,Mitte,Germany,
AON Hanoi Landmark Tower,21.01732222,105.78405278,Wikidata: Q609140,Mễ Trì,Vietnam,
Aoyama Cemetery,35.666666666,139.722222222,Wikidata: Q1036028,Tokyo,Japan,
Apartment house of Chirikov (Rostov-on-Don),47.223981,39.706362,Wikidata: Q16646137,Budenovsky avenue in Rostov-on-Don,Russia,
"Apollolaan 166, Amsterdam",52.345685,4.871131,Wikidata: Q17292419,Amsterdam,Netherlands,
Apple Piazza Liberty,45.465426,9.194087,Wikidata: Q56328172,Milan,Italy,
Appomattox Court House National Historical Park cemeteries,37.3786,-78.7964,Wikidata: Q4781657,Virginia,United States,
Aqua,41.886497,-87.619711,Wikidata: Q622895,Cook County,United States,
Arbed SA Hauptverwaltung,49.4988,5.9881,Wikidata: Q119215281,Esch-sur-Alzette,Luxembourg,
Archbasilica of St. John Lateran,41.885905555,12.506155555,Wikidata: Q84090,Rome,Italy,
"Archcathedral Basilica of St. Stanislaus Kostka, Łódź",51.748819444,19.459608333,Wikidata: Q1140861,Katedralna,Poland,
Ard Eevin,34.176944444,-118.270277777,Wikidata: Q26955589,California,United States,
Ardennes American Cemetery and Memorial,50.547430555,5.465430555,Wikidata: Q638977,Neupré,Belgium,
Areeta,43.326111,-3.009722,Wikidata: Q3034948,Getxo,Spain,
Arena Amazônia,-3.083056,-60.028056,Wikidata: Q641527,,,
Arena AufSchalke,51.554502777,7.067588888,Wikidata: Q150961,,,
Arena Cidade da Copa,-8.040555555,-35.008333333,Wikidata: Q1362211,,,
Arena Civica,45.475463,9.178544,Wikidata: Q1088761,Milan,Italy,
