match_type,wikidata_name,apify_name,wikidata_qid,wikidata_city,wikidata_country,apify_city,apify_country,apify_rating,distance_meters,wikidata_id,apify_id
location_only,"Burleigh County Courthouse","Burleigh County District Court",Q4999114,"Bismarck","United States","Bismarck","United States",3.2,31,f25a5eaa-fb76-42b1-a6eb-1f6b0c0e04e4,3dc00d6f-bc78-48bb-b800-29d0e1094e93
exact_name,"Burlington Arcade","Burlington Arcade",Q2928520,"City of Westminster","United Kingdom","London","United Kingdom",4.5,120,6ab4a72a-f599-4429-b068-3ef044e92856,759ed1af-ef70-4ceb-a267-11dbd0fe676c
location_only,"Bursa Green Mosque","Yeşil Cami",Q1549086,"Bursa","Turkey","Bursa","Turkey",,51,7b7923a5-9ba0-4ee0-9c59-79a1a8406b63,f2ce064f-2df3-4b5e-b44f-4535711be38b
exact_name,"Burton Morse House","Burton Morse House",Q85749610,"Twin Falls","United States","Twin Falls","United States",,107,1074e47d-48f9-4de8-9643-cad212cdfeff,cde8008d-aa58-4ddf-b84d-e03cbd5c100f
location_only,"Burtscheid cemetery","Heißbergfriedhof",Q1601546,"Aachen","Germany","Aachen","Germany",,14,d7c2a3c7-fc1c-4be7-93a5-47d4b67fa6af,379878f2-65a6-487d-bd52-b694bc211175
location_only,"Byakugō-ji Temple","Byakugo-ji",Q1018450,"Nara","Japan","Nara","Japan",4.2,20,19d2d5c1-a008-41a1-940f-92ceae4f2455,4871cf23-a647-497f-851e-787b36e57e3f
location_only,"Bykovo cemetery","Bykovsky cemetery",Q133513,"Zhukovsky","Russia","Zhukovskiy","Russia",4.1,30,2643dff0-775e-4018-994d-6e5bf741c3c5,306196d8-b447-4edb-9d9a-48aa0ec2551c
similar_name,"Byzantium","Q-Park Byzantium",Q21980990,"Amsterdam","Netherlands","Amsterdam","Netherlands",2.9,38,457c1ef8-10f6-4ee9-b2c7-eaab9fcd502e,6933102e-1527-4f7d-a8d3-1a94502f3f51
similar_name,"Ca la Pilar","Ca la Pilar - Moragues",Q98770247,"Viladecans","Spain","Viladecans","Spain",5,12,d63f45a0-1315-470e-becc-87ed8666ce5b,712d09f7-00e4-498f-b5be-790977945e7a
similar_name,"Cadillac Hotel","Cadillac Hotel & Beach Club, Autograph Collection",Q2928530,"Miami Beach","United States","Miami Beach","United States",3.9,30,94a635b1-9ddc-45db-bfd4-ccbb034b2cde,68cc4a9b-5414-4e5d-8ad4-7121e47c8c26
