wikidata_id,wikidata_name,wikidata_qid,wikidata_city,wikidata_country,apify_id,apify_name,apify_rating,apify_city,apify_country,apify_gpid,distance_meters
6834ccb7-3819-4852-94e6-bac58b4915c6,"Jonathan Bourne Public Library",Q16892922,"Bourne","United States",ed87fc11-b8b6-48cf-b89f-cf59704f5460,"Jonathan Bourne Library",4.8,"Bourne","United States",ChIJ81Ey-7XI5IkR6CDwpdVBI1E,10
6e3abce0-1fcc-4836-9bed-710204e8375b,"K4",Q29415302,"Vienna","Austria",2dbdc9b8-de31-49e3-bef1-cc3f5cd8ebab,"K4 - 1",5,"Vienna","Austria",ChIJX78zRugGbUcR-wQTDfZsMIw,10
7b813b8e-875b-4b04-9440-39465322bad9,"Kagraner Friedhof",Q1241475,"Vienna","Austria",8ba81d07-5761-40e2-8cc7-2bf2d89786be,"Kagran Cemetery",4.1,"Vienna","Austria",ChIJUSMyQK8GbUcR0HL6UfWoqGU,21
95d9ccac-50bd-4772-9f55-9c445a66064f,"Kalitnikovskoye Cemetery",Q4209997,"Tagansky District","Russia",f976b606-cc02-4859-8160-e2fbc40c2608,"Kalitnikovskoye cemetery",4.5,"Moscow","Russia",ChIJwdFghM5KtUYRnCl336TZREQ,41
a86eac66-0798-43e0-b036-fc0e735e1dac,"Kammertheater Stuttgart",Q28498697,"Stuttgart","Germany",3cb435e4-7d00-498f-b870-80edc2fc3a76,"Kammertheater",4.6,"Stuttgart","Germany",ChIJQRnjDsvEmUcRbECxx0mLdT0,20
8e213a56-5110-4cfa-8133-dc98b4f65673,"Katowice railway station",Q800992,"Śródmieście","Poland",ebe6e596-a23b-4be0-bb45-26f7cac80b2c,"Katowice",4.3,"Katowice","Poland",ChIJZdR7kUfOFkcR1I8wvOUCUAg,92
a042e91f-aa47-497e-8267-16c2c1050a1a,"Kaufhaus Jonaß",Q1504641,"Pankow","Germany",de07d977-8a11-4080-9f84-2524c6113b66,"Soho House",4.3,"Berlin","Germany",ChIJ7QGeQxxOqEcRFvDmifxqZO8,15
79c77358-47c7-4da7-9e44-a45c15e945a3,"Kazanskoe cemetery (Pushkin)",Q4207852,"Pushkin","Russia",1a5f0811-b239-4f1d-8708-7d9571aa9e41,"Kazan cemetery",4.4,"St Petersburg","Russia",ChIJMeSc-w4hlkYReNh2eFe4whk,30
7c692a60-d93b-4fa8-98fd-bbf49a39c822,"Ken Iwata Mother and Child Museum, Imabari City",Q11377194,"Imabari","Japan",0ab8ccd9-df75-4c88-8465-1ba7b40939d0,"Imabari City Ken Iwata Mother and Child Museum",3.7,"Imabari","Japan",ChIJKfEvGVtHUDURDqqtJ2xQxxE,33
98a5f391-e375-4f2d-8e28-602712b06d1b,"King Edward Hotel",Q6411467,"Jackson","United States",ce878bf8-c690-4777-ba26-890c72c7873f,"King Edwards Apartments",4.3,"Jackson","United States",ChIJ_Y3mwa0zKIYRYd_vH_wq-hM,93
9dd5634b-0dfd-49ba-859b-bb3ff34b1a17,"King Power Mahanakhon",Q1640197,"Bangkok","Thailand",fc1b862b-ea60-4db6-916d-faa147bc7e06,"MahaNakhon",,"Bangkok","Thailand",ChIJyeUPvdKY4jARPTnn7ak4sig,60
7746d615-636a-4e88-a6b1-04f601806ad5,"Kinsky Palace",Q27017,"Prague 1","Czech Republic",45c02b73-83a4-4170-95a6-0478e93c004d,"Goltz-Kinský Palace",4.6,"Old Town","Czech Republic",ChIJ0VBXbOmUC0cRLYUYCVF-1us,20
